"filename", "language", "JavaScript", "JSON", "JSON with Comments", "CSS", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"h:\5.Projects\CoreNex UI\client\src\Pages\VerifyEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 1, 10, 140
"h:\5.Projects\CoreNex UI\client\src\Pages\ViewChallengePostsCode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"h:\5.Projects\CoreNex UI\client\src\Styles\AnchorLink.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"h:\5.Projects\CoreNex UI\client\src\Styles\Card.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 6, 58
"h:\5.Projects\CoreNex UI\client\src\Styles\CssChallengeDescription.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 24
"h:\5.Projects\CoreNex UI\client\src\Styles\Csselements.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"h:\5.Projects\CoreNex UI\client\src\Styles\EventDescription.css", "CSS", 0, 0, 0, 115, 0, 0, 0, 0, 0, 2, 22, 139
"h:\5.Projects\CoreNex UI\client\src\Styles\FormInput.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"h:\5.Projects\CoreNex UI\client\src\Styles\Login.css", "CSS", 0, 0, 0, 74, 0, 0, 0, 0, 0, 10, 19, 103
"h:\5.Projects\CoreNex UI\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\components\AdminCardComp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 180, 0, 3, 6, 189
"h:\5.Projects\CoreNex UI\client\src\components\Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"h:\5.Projects\CoreNex UI\client\src\components\Alertcustom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 49, 5, 77
